channel,Burn_1 title,Burn_2 title,Burn_3 title,scale,offset
Channel 1a,Living Room 1 7',Living Room 1 7',Living Room 1 7',1.8,32
Channel 2a,Living Room 1 3',Living Room 1 3',Living Room 1 3',1.8,32
Channel 3a,Bedroom 1 7',Bedroom 1 7',Bedroom 1 7',1.8,32
Channel 4a,Bedroom 1 3',Bedroom 1 3',Bedroom 1 3',1.8,32
Channel 1b,Living Room 2 7',Living Room 2 7',Living Room 3 7',1.8,32
Channel 2b,Living Room 2 3',Living Room 2 3',Living Room3 3',1.8,32
Channel 3b,Bedroom 2 7',Bedroom 2 7',Bedroom 2 7',1.8,32
Channel 4b,Bedroom 2 3',Bedroom 2 3',Bedroom 2 3',1.8,32
